p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PTP4A3	4.14350539123579e-114	1.70743677720019	0.993	0.935	1.24305161737074e-110	NAF_PTP4A3	PTP4A3
PDK4	6.59960334763297e-98	1.78257133443061	1	0.948	1.97988100428989e-94	NAF_PTP4A3	PDK4
LAMA3	4.32835702654378e-93	0.340738419374769	0.998	0.954	1.29850710796313e-89	NAF_PTP4A3	LAMA3
KCNA5	9.54108691106254e-85	0.725842517241144	0.995	0.904	2.86232607331876e-81	NAF_PTP4A3	KCNA5
GPR4	2.7203477063094e-83	1.19325367584149	0.998	0.971	8.1610431189282e-80	NAF_PTP4A3	GPR4
PI15	1.38230608436725e-81	1.38073397074597	0.963	0.785	4.14691825310176e-78	NAF_PTP4A3	PI15
ITGA8	1.39076006703653e-81	0.454423393572103	0.993	0.967	4.17228020110959e-78	NAF_PTP4A3	ITGA8
ADAMTS1	1.09285056948959e-78	1.37140020904848	1	0.992	3.27855170846878e-75	NAF_PTP4A3	ADAMTS1
ADAMTS9	8.5161456210609e-76	1.53960023019612	0.99	0.964	2.55484368631827e-72	NAF_PTP4A3	ADAMTS9
ELL2	2.02820993802294e-75	0.609370860558606	1	0.988	6.08462981406882e-72	NAF_PTP4A3	ELL2
CRYAB	2.0845627675442e-75	1.97521225448918	0.958	0.799	6.25368830263261e-72	NAF_PTP4A3	CRYAB
HSPB8	5.14204592692808e-71	1.02535190734709	0.998	0.983	1.54261377807842e-67	NAF_PTP4A3	HSPB8
CSRP2	1.36848219406588e-70	1.20071515316603	0.97	0.935	4.10544658219763e-67	NAF_PTP4A3	CSRP2
SLC7A2	4.43418654456665e-69	1.00648129110952	1	0.917	1.33025596336999e-65	NAF_PTP4A3	SLC7A2
NOL3	9.76691099088175e-69	0.61380801023634	0.995	0.97	2.93007329726453e-65	NAF_PTP4A3	NOL3
CAP2	1.88718319239403e-66	0.426758321200222	0.988	0.804	5.66154957718209e-63	NAF_PTP4A3	CAP2
HSPA1A	1.26325075543889e-65	1.21895265892793	0.995	0.895	3.78975226631667e-62	NAF_PTP4A3	HSPA1A
SLIT3	3.25489080413535e-65	0.856189199887854	1	0.988	9.76467241240605e-62	NAF_PTP4A3	SLIT3
NRIP2	3.13307050134798e-64	0.545233077386964	0.985	0.793	9.39921150404395e-61	NAF_PTP4A3	NRIP2
HSPB1	4.38756425259503e-63	1.11413855946786	0.998	0.94	1.31626927577851e-59	NAF_PTP4A3	HSPB1
MAFF	1.73423024107952e-62	0.844122509212614	0.998	0.989	5.20269072323856e-59	NAF_PTP4A3	MAFF
NTRK2	1.66181633711639e-60	0.500070735809631	0.995	0.745	4.98544901134917e-57	NAF_PTP4A3	NTRK2
MYH11	3.10525074064722e-60	0.931263909724705	0.906	0.723	9.31575222194165e-57	NAF_PTP4A3	MYH11
NR4A2	1.25839085487114e-59	0.847995422828893	0.998	0.986	3.77517256461343e-56	NAF_PTP4A3	NR4A2
RRAD	1.34824162730268e-59	0.348577820453739	0.914	0.695	4.04472488190805e-56	NAF_PTP4A3	RRAD
BAG3	5.40992444321391e-58	1.36426659949518	0.98	0.952	1.62297733296417e-54	NAF_PTP4A3	BAG3
ADAMTS4	1.85083448684084e-57	1.1826931622258	0.998	0.947	5.55250346052252e-54	NAF_PTP4A3	ADAMTS4
ODC1	1.02118646244569e-56	0.404683075061769	0.993	0.924	3.06355938733708e-53	NAF_PTP4A3	ODC1
